VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2023-04-22 08:54:46,2023-04-22 09:25:46,5,13.36,-74.005383,40.672341,5,N,-73.836287,40.793839,1,19.38,0.84,0.5,11.32,8.98,0.3,41.32
1,2023-04-04 06:18:33,2023-04-04 06:58:33,6,13.65,-73.865803,40.519055,3,Y,-74.224498,40.829176,1,33.53,4.51,0.5,15.93,7.38,0.3,62.15
1,2023-08-24 11:10:39,2023-08-24 11:37:39,5,8.96,-73.894248,40.695555,3,N,-74.131324,40.674854,4,27.11,0.23,0.5,13.84,1.49,0.3,43.47
1,2023-06-22 07:39:13,2023-06-22 07:46:13,4,31.86,-74.003602,40.564784,2,N,-73.770608,40.578209,2,71.53,3.56,0.5,1.16,9.6,0.3,86.65
2,2023-02-02 10:58:47,2023-02-02 11:30:47,4,46.31,-73.720212,40.72329,3,N,-73.980262,40.765176,3,7.41,4.25,0.5,10.49,3.02,0.3,25.97
2,2023-02-18 13:53:17,2023-02-18 14:51:17,3,22.83,-74.200793,40.572452,4,Y,-73.811311,40.803305,4,74.14,2.42,0.5,12.81,7.1,0.3,97.27
1,2023-09-26 05:11:41,2023-09-26 05:33:41,5,32.46,-74.005431,40.814857,6,Y,-73.954573,40.65856,4,5.02,1.36,0.5,19.66,8.35,0.3,35.19
1,2023-01-05 21:01:28,2023-01-05 21:25:28,5,49.77,-73.931273,40.624109,5,N,-74.122047,40.863996,1,68.2,3.22,0.5,2.02,2.97,0.3,77.21
1,2023-01-26 09:27:05,2023-01-26 10:18:05,5,18.59,-74.247843,40.663304,2,Y,-74.097121,40.655936,1,52.36,3.86,0.5,2.88,9.44,0.3,69.34
2,2023-03-19 12:24:05,2023-03-19 12:56:05,6,20.5,-73.797007,40.5579,6,Y,-74.255116,40.844908,2,64.84,2.53,0.5,1.33,8.57,0.3,78.07
1,2023-04-15 09:51:49,2023-04-15 10:51:49,5,33.27,-73.816735,40.732386,2,N,-73.766119,40.574095,2,15.85,4.23,0.5,10.03,3.33,0.3,34.24
1,2023-07-15 08:42:44,2023-07-15 09:23:44,6,34.33,-74.229342,40.726512,2,Y,-74.14686,40.508317,4,10.06,1.81,0.5,13.97,5.18,0.3,31.82
1,2023-10-03 03:22:53,2023-10-03 04:14:53,2,44.34,-74.042546,40.602375,6,N,-74.052238,40.691703,1,44.21,3.81,0.5,18.47,9.88,0.3,77.17
1,2023-05-21 22:54:48,2023-05-21 23:44:48,3,9.75,-74.06895,40.67336,1,N,-73.991957,40.502218,4,64.75,4.9,0.5,19.82,3.71,0.3,93.98
1,2023-02-07 16:10:50,2023-02-07 16:57:50,3,39.4,-74.26185,40.704541,6,Y,-74.285093,40.620266,3,48.86,4.19,0.5,9.55,6.01,0.3,69.41
1,2023-07-21 20:56:19,2023-07-21 21:28:19,6,45.98,-73.721266,40.789877,3,Y,-74.031443,40.881027,1,54.23,1.04,0.5,18.14,8.57,0.3,82.78
1,2023-05-24 15:29:37,2023-05-24 15:57:37,3,21.0,-74.07343,40.596644,3,N,-74.293725,40.590483,2,47.87,1.7,0.5,7.35,8.15,0.3,65.87
2,2023-05-15 00:30:47,2023-05-15 01:19:47,1,21.19,-74.096772,40.855199,6,Y,-74.019807,40.578669,3,66.64,2.59,0.5,11.63,9.48,0.3,91.14
2,2023-03-03 20:20:54,2023-03-03 21:03:54,5,33.39,-73.79873,40.829158,5,N,-74.252503,40.711103,1,78.78,2.9,0.5,1.63,3.03,0.3,87.14
2,2023-02-18 07:55:03,2023-02-18 08:21:03,3,39.89,-73.869173,40.809572,3,Y,-74.01424,40.751236,2,23.64,3.48,0.5,11.57,8.16,0.3,47.65
1,2023-08-26 09:28:53,2023-08-26 10:16:53,4,35.64,-73.735179,40.814352,3,N,-73.903806,40.605305,3,58.02,1.98,0.5,8.17,2.42,0.3,71.39
1,2023-11-14 11:51:12,2023-11-14 12:18:12,5,18.86,-74.097563,40.877886,6,N,-73.890733,40.55334,4,82.78,3.22,0.5,7.71,1.12,0.3,95.63
1,2023-10-18 12:57:48,2023-10-18 13:02:48,2,12.73,-74.035706,40.519827,3,N,-73.706256,40.70263,4,8.87,1.05,0.5,5.21,1.31,0.3,17.24
2,2023-05-23 17:42:20,2023-05-23 18:34:20,4,45.03,-74.138927,40.67722,4,Y,-74.155091,40.636735,4,57.73,0.56,0.5,15.0,2.46,0.3,76.55
2,2023-03-10 07:03:24,2023-03-10 07:31:24,3,44.1,-74.203801,40.700845,4,N,-74.036582,40.581651,4,95.3,0.1,0.5,10.71,0.03,0.3,106.94
1,2023-10-18 01:34:50,2023-10-18 02:04:50,4,33.44,-73.846772,40.817302,3,N,-74.104605,40.54235,4,6.75,1.82,0.5,16.64,0.85,0.3,26.86
2,2023-07-05 00:06:26,2023-07-05 00:40:26,3,19.33,-73.944882,40.849844,6,Y,-73.864209,40.770449,2,61.97,0.1,0.5,12.36,7.67,0.3,82.9
1,2023-11-23 17:46:47,2023-11-23 18:03:47,5,45.19,-73.898099,40.816514,4,Y,-74.291226,40.557192,2,51.81,4.44,0.5,17.36,3.77,0.3,78.18
1,2023-07-30 19:48:50,2023-07-30 19:57:50,1,22.8,-74.042291,40.724016,5,Y,-74.226624,40.688928,1,85.49,2.03,0.5,6.39,4.81,0.3,99.52
1,2023-01-22 23:58:52,2023-01-23 00:58:52,2,15.12,-73.700342,40.595759,4,N,-74.073739,40.734862,1,36.46,3.72,0.5,9.06,8.71,0.3,58.75
1,2023-04-06 04:22:28,2023-04-06 04:53:28,5,22.65,-73.733496,40.721897,2,Y,-74.156677,40.821553,3,21.24,4.19,0.5,13.48,9.76,0.3,49.47
1,2023-11-16 23:48:39,2023-11-17 00:06:39,2,39.49,-73.900923,40.620754,3,Y,-74.126247,40.834814,4,4.57,0.62,0.5,13.53,2.5,0.3,22.02
1,2023-11-30 09:30:27,2023-11-30 10:26:27,3,46.8,-74.038853,40.514821,4,N,-74.294895,40.710455,2,15.05,4.64,0.5,4.41,9.32,0.3,34.22
2,2023-11-25 18:10:29,2023-11-25 19:06:29,6,16.89,-73.702053,40.733559,5,Y,-73.857937,40.818523,2,66.97,3.82,0.5,4.89,3.98,0.3,80.46
2,2023-10-24 17:11:59,2023-10-24 17:16:59,6,47.71,-74.019388,40.683034,4,Y,-74.157975,40.724615,3,33.13,4.29,0.5,12.27,6.0,0.3,56.49
2,2023-10-27 10:01:26,2023-10-27 10:56:26,4,14.89,-74.267171,40.502895,5,Y,-73.859151,40.650071,1,2.79,4.72,0.5,0.59,1.71,0.3,10.61
2,2023-10-02 15:02:43,2023-10-02 15:34:43,5,13.47,-74.263652,40.753296,1,Y,-74.157899,40.802237,1,96.62,1.44,0.5,8.33,6.73,0.3,113.92
2,2023-07-18 18:32:16,2023-07-18 19:15:16,4,3.2,-74.180274,40.634875,1,Y,-74.174507,40.86706,3,37.22,0.6,0.5,9.04,4.36,0.3,52.02
2,2023-12-30 05:17:39,2023-12-30 06:11:39,4,36.88,-74.218636,40.586246,4,N,-73.713985,40.838873,3,77.15,3.67,0.5,3.68,3.01,0.3,88.31
2,2023-02-28 16:44:08,2023-02-28 17:21:08,6,30.21,-74.044857,40.652276,5,N,-73.795295,40.7634,4,39.4,3.17,0.5,16.66,5.6,0.3,65.63
2,2023-03-19 13:25:53,2023-03-19 14:01:53,6,20.42,-74.030183,40.70054,6,Y,-74.010458,40.624,2,48.12,3.8,0.5,10.79,9.97,0.3,73.48
1,2023-01-05 12:42:34,2023-01-05 13:28:34,5,12.05,-73.72839,40.563482,4,N,-74.165161,40.781288,1,31.82,3.92,0.5,16.94,0.36,0.3,53.84
1,2023-07-08 13:17:55,2023-07-08 14:01:55,1,48.1,-74.007346,40.711145,4,N,-73.981905,40.695476,4,51.25,4.2,0.5,7.06,5.7,0.3,69.01
2,2023-05-08 15:06:44,2023-05-08 15:45:44,2,22.71,-74.241747,40.545523,3,N,-73.836819,40.87604,1,27.87,0.4,0.5,2.33,5.63,0.3,37.03
1,2023-10-22 11:59:59,2023-10-22 12:58:59,3,11.7,-73.759286,40.567585,6,Y,-73.760957,40.873212,2,83.64,2.98,0.5,11.54,0.46,0.3,99.42
1,2023-08-30 04:11:48,2023-08-30 04:16:48,5,49.11,-74.160397,40.789737,6,N,-74.203995,40.578613,4,4.11,0.14,0.5,10.29,4.75,0.3,20.09
2,2023-09-16 17:07:39,2023-09-16 17:33:39,1,14.33,-73.943279,40.697946,1,N,-73.997835,40.720781,1,39.48,3.98,0.5,18.84,7.79,0.3,70.89
1,2023-12-18 08:48:59,2023-12-18 09:26:59,4,33.34,-73.831142,40.545001,2,Y,-73.768284,40.793775,3,63.69,1.07,0.5,19.93,8.21,0.3,93.7
1,2023-09-27 17:00:59,2023-09-27 17:36:59,4,13.24,-73.747949,40.722283,2,N,-73.984869,40.786728,3,71.82,3.75,0.5,0.96,2.61,0.3,79.94
2,2023-05-26 16:45:47,2023-05-26 17:21:47,1,18.97,-73.792204,40.503224,1,N,-73.797331,40.769156,3,61.14,1.93,0.5,13.21,1.57,0.3,78.65
1,2023-05-05 06:41:30,2023-05-05 07:18:30,3,22.2,-74.277078,40.703191,5,N,-74.118495,40.771992,3,49.66,3.14,0.5,10.82,9.71,0.3,74.13
2,2023-03-30 09:22:21,2023-03-30 09:56:21,3,4.21,-73.972734,40.676696,4,Y,-74.108948,40.506874,4,20.2,3.91,0.5,13.88,9.24,0.3,48.03
1,2023-12-20 04:17:16,2023-12-20 05:10:16,1,19.59,-73.982496,40.846408,6,Y,-73.762119,40.769886,3,51.01,3.7,0.5,14.35,6.15,0.3,76.01
2,2023-02-19 10:18:39,2023-02-19 10:25:39,4,11.2,-74.262019,40.838396,6,N,-73.795873,40.774986,4,86.57,4.07,0.5,15.76,3.22,0.3,110.42
2,2023-12-26 01:14:08,2023-12-26 02:00:08,5,37.27,-73.987027,40.731093,1,Y,-73.824288,40.561264,2,94.75,2.66,0.5,9.83,2.54,0.3,110.58
1,2023-06-24 23:48:02,2023-06-25 00:39:02,5,26.65,-74.170986,40.599516,2,Y,-74.01388,40.668622,3,76.61,1.86,0.5,0.83,0.48,0.3,80.58
2,2023-03-05 20:32:12,2023-03-05 21:18:12,2,2.24,-73.848056,40.570309,5,N,-73.939995,40.633256,1,58.01,1.17,0.5,18.91,8.95,0.3,87.84
1,2023-02-22 20:19:34,2023-02-22 20:41:34,2,44.18,-73.9253,40.581934,5,Y,-74.292912,40.739641,1,2.84,2.83,0.5,10.06,4.74,0.3,21.27
1,2023-09-30 08:10:17,2023-09-30 08:28:17,2,42.18,-73.803922,40.701473,6,N,-74.264483,40.705864,4,48.08,3.22,0.5,9.03,2.33,0.3,63.46
2,2023-09-19 15:27:58,2023-09-19 16:23:58,1,22.62,-73.997295,40.619556,3,Y,-73.743887,40.506458,4,76.52,4.6,0.5,12.91,4.77,0.3,99.6
1,2023-02-24 11:20:01,2023-02-24 12:14:01,6,42.4,-73.892937,40.61192,2,Y,-73.953139,40.511477,2,59.76,2.2,0.5,7.04,1.42,0.3,71.22
2,2023-08-28 12:13:14,2023-08-28 12:44:14,6,47.93,-74.232554,40.532944,2,Y,-74.172543,40.896746,2,65.73,4.89,0.5,9.02,1.55,0.3,81.99
1,2023-01-04 21:20:27,2023-01-04 21:30:27,2,37.25,-74.058209,40.843047,1,Y,-73.825909,40.868425,1,45.24,2.36,0.5,16.06,0.12,0.3,64.58
1,2023-07-21 12:02:28,2023-07-21 12:51:28,5,47.21,-73.852023,40.863793,4,N,-74.067015,40.649485,1,38.56,2.8,0.5,5.91,3.41,0.3,51.48
1,2023-11-03 17:00:22,2023-11-03 17:29:22,6,25.93,-73.90787,40.83898,3,N,-74.035495,40.508443,2,45.53,4.21,0.5,4.13,8.81,0.3,63.48
1,2023-10-19 11:36:46,2023-10-19 12:07:46,3,37.82,-74.193813,40.721443,3,Y,-73.868644,40.540381,3,20.98,4.03,0.5,15.62,3.02,0.3,44.45
2,2023-09-03 22:08:31,2023-09-03 22:55:31,6,7.13,-74.17056,40.727994,6,N,-73.914051,40.777067,3,70.69,2.18,0.5,18.92,5.36,0.3,97.95
2,2023-11-01 09:04:56,2023-11-01 09:36:56,4,9.36,-74.242337,40.678065,2,Y,-74.149006,40.601144,3,69.28,1.32,0.5,0.14,0.79,0.3,72.33
1,2023-01-25 08:16:24,2023-01-25 09:01:24,5,5.66,-73.727656,40.735818,6,Y,-74.140164,40.712607,4,48.49,0.64,0.5,3.13,4.25,0.3,57.31
1,2023-09-21 09:03:19,2023-09-21 09:23:19,3,47.19,-73.762583,40.673768,3,Y,-73.831218,40.726443,2,59.88,1.99,0.5,13.13,7.96,0.3,83.76
1,2023-08-27 02:27:27,2023-08-27 03:12:27,2,38.88,-74.200629,40.547237,5,N,-74.062865,40.7311,4,55.23,3.75,0.5,13.83,2.65,0.3,76.26
2,2023-11-23 06:54:19,2023-11-23 07:53:19,3,38.31,-73.985643,40.834224,5,N,-73.925857,40.595891,1,45.31,1.31,0.5,14.44,5.14,0.3,67.0
1,2023-02-12 03:48:32,2023-02-12 03:54:32,2,8.81,-73.977428,40.729586,1,N,-73.849223,40.657014,2,33.76,0.54,0.5,2.91,9.9,0.3,47.91
2,2023-11-13 18:18:28,2023-11-13 18:37:28,4,30.75,-73.783686,40.550668,3,Y,-74.182986,40.603424,4,5.67,0.62,0.5,17.85,4.99,0.3,29.93
1,2023-04-02 19:56:52,2023-04-02 20:12:52,2,44.13,-73.92914,40.740067,1,Y,-73.707311,40.504388,1,79.33,2.45,0.5,3.91,0.52,0.3,87.01
1,2023-09-15 07:53:23,2023-09-15 08:36:23,4,1.29,-74.214425,40.583971,5,Y,-73.747735,40.638046,1,20.03,2.75,0.5,3.72,8.33,0.3,35.63
2,2023-07-22 15:18:20,2023-07-22 15:39:20,3,20.23,-73.731006,40.722359,3,N,-74.183979,40.864861,4,56.83,1.71,0.5,16.14,5.69,0.3,81.17
2,2023-08-26 05:09:29,2023-08-26 06:03:29,1,7.92,-74.073816,40.80862,5,Y,-73.726628,40.884214,4,39.49,0.21,0.5,5.05,5.96,0.3,51.51
1,2023-05-15 13:05:27,2023-05-15 13:32:27,6,14.05,-74.244484,40.535304,5,Y,-74.27934,40.654355,4,35.2,0.63,0.5,15.04,6.69,0.3,58.36
1,2023-03-21 11:26:02,2023-03-21 11:39:02,6,41.57,-74.060051,40.795683,4,N,-74.129414,40.887993,2,22.09,3.09,0.5,11.06,2.33,0.3,39.37
2,2023-05-24 03:05:46,2023-05-24 03:44:46,6,10.08,-73.826854,40.511724,2,N,-74.125733,40.504512,2,64.22,1.65,0.5,0.39,0.95,0.3,68.01
1,2023-07-13 00:39:54,2023-07-13 00:44:54,2,18.36,-74.124187,40.632876,2,N,-74.260353,40.659537,3,84.98,0.87,0.5,1.73,5.62,0.3,94.0
1,2023-09-16 14:30:18,2023-09-16 15:04:18,2,41.83,-74.048078,40.804594,5,N,-73.989006,40.709629,4,72.59,1.74,0.5,7.64,7.52,0.3,90.29
1,2023-01-29 11:11:50,2023-01-29 12:06:50,5,3.71,-74.150954,40.757572,6,N,-73.988368,40.831453,2,96.09,3.42,0.5,11.85,3.37,0.3,115.53
2,2023-10-30 13:28:46,2023-10-30 14:25:46,2,16.92,-74.085195,40.677409,5,N,-73.953978,40.711489,3,2.93,2.79,0.5,19.94,2.12,0.3,28.58
2,2023-11-13 06:42:54,2023-11-13 07:14:54,1,14.71,-73.703189,40.507168,1,Y,-73.907236,40.799334,1,60.97,2.9,0.5,17.63,5.25,0.3,87.55
1,2023-05-09 10:41:05,2023-05-09 10:55:05,2,18.59,-73.826654,40.69069,1,N,-73.831233,40.872432,3,91.67,1.93,0.5,6.98,0.61,0.3,101.99
1,2023-08-26 11:27:22,2023-08-26 11:52:22,1,44.81,-73.789141,40.592993,6,N,-73.818011,40.742397,4,21.12,0.69,0.5,1.19,7.73,0.3,31.53
1,2023-04-06 17:15:26,2023-04-06 17:49:26,3,40.85,-73.895682,40.890317,2,N,-74.250758,40.899253,2,37.7,0.39,0.5,3.77,1.47,0.3,44.13
2,2023-10-03 18:01:36,2023-10-03 18:27:36,5,36.13,-73.869707,40.734163,1,N,-73.953761,40.617368,4,56.76,0.22,0.5,9.28,6.06,0.3,73.12
1,2023-01-09 05:24:26,2023-01-09 06:16:26,1,28.49,-73.953705,40.709791,3,N,-74.281049,40.828849,1,41.52,3.32,0.5,15.02,6.07,0.3,66.73
2,2023-08-03 08:02:09,2023-08-03 08:22:09,1,29.1,-74.235686,40.793592,5,N,-73.745519,40.762643,3,17.93,0.08,0.5,2.02,4.72,0.3,25.55
2,2023-03-15 17:35:47,2023-03-15 18:19:47,1,15.29,-74.007778,40.782482,3,N,-73.990446,40.503207,4,78.54,3.34,0.5,19.2,6.63,0.3,108.51
1,2023-09-17 07:14:45,2023-09-17 07:46:45,2,23.93,-73.949472,40.581006,1,N,-73.804538,40.732161,4,39.83,0.65,0.5,8.66,4.97,0.3,54.91
1,2023-09-19 06:19:32,2023-09-19 07:04:32,3,23.06,-73.939607,40.887949,5,N,-74.046057,40.554321,1,66.12,1.23,0.5,15.79,9.54,0.3,93.48
2,2023-09-21 05:37:33,2023-09-21 06:15:33,5,23.23,-73.713063,40.556873,6,N,-73.863113,40.685808,3,37.6,1.64,0.5,17.23,1.83,0.3,59.1
2,2023-04-23 21:05:18,2023-04-23 21:39:18,6,41.07,-73.826324,40.88376,5,Y,-73.942459,40.508449,2,41.72,2.23,0.5,18.67,1.81,0.3,65.23
2,2023-11-05 12:27:27,2023-11-05 12:41:27,2,43.11,-74.217578,40.850335,6,Y,-74.290323,40.839176,2,13.79,4.06,0.5,8.5,5.83,0.3,32.98
1,2023-08-19 13:42:47,2023-08-19 14:19:47,1,6.93,-74.113024,40.579122,3,Y,-74.282277,40.623406,2,81.09,4.84,0.5,12.61,0.23,0.3,99.57
2,2023-12-29 15:10:56,2023-12-29 15:49:56,3,48.53,-74.103934,40.533979,2,N,-74.252564,40.613138,1,52.15,3.96,0.5,19.78,4.81,0.3,81.5
1,2023-12-26 23:11:41,2023-12-26 23:47:41,1,28.99,-73.845752,40.892716,5,N,-73.71174,40.828937,4,58.23,1.68,0.5,16.61,2.44,0.3,79.76
2,2023-11-21 11:20:36,2023-11-21 12:04:36,5,30.15,-74.183777,40.876372,6,Y,-74.090833,40.5816,2,42.79,4.74,0.5,1.37,9.41,0.3,59.11
1,2023-04-27 20:26:22,2023-04-27 20:44:22,3,24.04,-74.16539,40.82528,3,N,-74.106331,40.665741,2,31.56,0.03,0.5,10.69,9.12,0.3,52.2
1,2023-06-17 01:05:19,2023-06-17 01:44:19,1,38.61,-73.968347,40.683641,1,N,-74.214147,40.662799,4,78.78,4.73,0.5,11.16,1.82,0.3,97.29
2,2023-03-01 16:41:09,2023-03-01 16:55:09,3,48.08,-73.792488,40.539033,3,N,-74.173557,40.834054,4,90.77,4.59,0.5,10.19,6.66,0.3,113.01
2,2023-11-09 20:18:41,2023-11-09 20:43:41,6,24.77,-74.287483,40.588551,6,Y,-73.833428,40.614852,2,76.1,0.68,0.5,7.99,1.3,0.3,86.87
1,2023-01-24 02:26:28,2023-01-24 03:23:28,4,1.81,-74.249025,40.633445,4,Y,-73.743846,40.810627,4,86.11,0.16,0.5,4.06,2.51,0.3,93.64
2,2023-01-25 00:22:27,2023-01-25 01:14:27,2,18.28,-74.282906,40.532186,1,Y,-73.739435,40.548097,1,27.69,3.02,0.5,11.2,6.64,0.3,49.35
1,2023-12-07 10:20:24,2023-12-07 11:16:24,6,6.13,-73.793784,40.506048,5,N,-74.073813,40.756199,1,63.24,1.11,0.5,5.44,9.58,0.3,80.17
2,2023-10-19 04:21:09,2023-10-19 05:16:09,6,24.39,-74.215744,40.875401,5,N,-73.945174,40.758006,2,93.86,0.25,0.5,7.93,2.03,0.3,104.87
1,2023-05-30 17:38:40,2023-05-30 18:00:40,6,31.34,-74.210851,40.767073,5,N,-73.791039,40.865251,4,95.46,3.86,0.5,13.78,9.43,0.3,123.33
2,2023-03-26 10:42:59,2023-03-26 10:55:59,1,14.16,-73.861881,40.794252,5,N,-73.946875,40.716767,4,23.78,1.45,0.5,13.14,7.65,0.3,46.82
1,2023-01-04 15:51:57,2023-01-04 16:11:57,1,32.7,-74.177688,40.696432,3,Y,-73.889466,40.583458,4,96.13,0.27,0.5,19.48,3.88,0.3,120.56
2,2023-04-29 16:56:15,2023-04-29 17:39:15,1,37.96,-74.241709,40.665922,6,N,-73.816075,40.610855,1,12.31,4.99,0.5,15.84,7.59,0.3,41.53
1,2023-03-03 01:12:39,2023-03-03 01:25:39,1,11.79,-73.880688,40.639517,3,N,-74.029827,40.647032,2,92.29,4.73,0.5,6.98,2.63,0.3,107.43
2,2023-10-25 01:28:33,2023-10-25 01:41:33,2,13.05,-74.283571,40.598487,1,Y,-74.077234,40.564402,2,57.95,2.58,0.5,3.04,8.25,0.3,72.62
2,2023-09-28 02:18:22,2023-09-28 03:13:22,3,24.51,-74.139799,40.692013,2,Y,-74.054436,40.512696,2,89.14,2.72,0.5,1.97,7.09,0.3,101.72
1,2023-02-18 08:19:47,2023-02-18 08:41:47,6,38.84,-74.017608,40.5134,6,N,-74.284117,40.582537,2,7.72,3.03,0.5,16.05,3.39,0.3,30.99
2,2023-08-26 10:10:31,2023-08-26 11:04:31,6,40.51,-73.969767,40.88301,2,Y,-74.155836,40.595994,2,8.66,2.03,0.5,6.18,6.96,0.3,24.63
2,2023-02-15 10:29:56,2023-02-15 11:17:56,3,47.75,-74.233797,40.709181,2,Y,-74.02231,40.77587,4,19.54,3.04,0.5,7.31,8.41,0.3,39.1
2,2023-06-30 16:11:13,2023-06-30 17:02:13,5,30.4,-73.7192,40.866833,1,N,-73.835036,40.606244,3,58.61,5.0,0.5,5.65,0.51,0.3,70.57
2,2023-05-09 11:29:11,2023-05-09 11:50:11,1,35.55,-73.790029,40.734436,2,N,-74.005866,40.875906,2,18.0,3.35,0.5,7.46,4.23,0.3,33.84
2,2023-05-02 12:05:06,2023-05-02 12:36:06,1,41.46,-74.217745,40.802697,2,Y,-74.044677,40.789613,1,10.77,3.73,0.5,8.84,7.57,0.3,31.71
1,2023-07-15 16:30:45,2023-07-15 17:29:45,6,22.44,-74.158653,40.529567,3,Y,-73.711693,40.59104,1,35.47,4.82,0.5,18.89,1.34,0.3,61.32
2,2023-10-10 22:00:33,2023-10-10 22:46:33,4,27.39,-74.114317,40.840906,5,Y,-73.826828,40.64371,1,89.3,4.0,0.5,18.69,1.7,0.3,114.49
1,2023-10-15 15:23:16,2023-10-15 16:23:16,4,26.94,-74.144248,40.631037,2,Y,-74.139828,40.890508,4,58.26,3.04,0.5,17.99,1.0,0.3,81.09
1,2023-07-29 15:32:37,2023-07-29 15:45:37,2,41.87,-74.192866,40.659906,5,N,-73.790025,40.868458,1,92.82,1.0,0.5,19.8,9.03,0.3,123.45
2,2023-11-30 03:37:01,2023-11-30 04:20:01,4,39.78,-74.194095,40.668274,2,Y,-73.975877,40.793151,4,87.97,1.32,0.5,15.58,4.48,0.3,110.15
2,2023-11-25 22:42:12,2023-11-25 23:33:12,5,37.37,-73.982119,40.694057,4,N,-73.786602,40.688498,3,69.14,3.86,0.5,15.84,6.95,0.3,96.59
2,2023-05-25 20:03:49,2023-05-25 20:41:49,1,47.03,-74.012023,40.818976,6,N,-74.074308,40.703279,1,38.51,2.45,0.5,2.48,6.02,0.3,50.26
